Borough,Area Code,Employed,Work_From_Home,Age_18_64,Disabled,Total_Pop,Economically_Active,Income_per_Head,Age_18_64_%,Economically_Active_%,Disabled_%,Work_From_Home_%,PC1,PC2,Cluster,Cluster_Label,Gym_Count,Retail_Rent,PC1_Score,PC2_Score,Gym_Score,Rent_Score,AHP_with_rent,Rank_with_rent,AHP_no_rent,Rank_no_rent,AHP_high_rent_sensitive,Rank_high_rent_sensitive,AHP_flat,Rank_flat,AHP_pairwise_matrix,Rank_pairwise_matrix
Greenwich,E09000011,142934.0,57959.0,193003.0,41576.0,289069.0,155202.0,24736.0,66.76710404782249,53.69029539660081,14.382725231692088,40.54948437740495,-0.5077329069054322,0.9717493283210896,1,High Need (Low PC1),32,33.35,0.23656485972110256,0.39508741427719385,0.576271186440678,0.8383052999047922,0.4565587240129739,26,0.35206289143184505,31,0.5167327680313428,24,0.5115571900859417,25,0.3562430384217745,28
Hackney,E09000012,134311.0,66844.0,182987.0,37020.0,259146.0,145767.0,29655.0,70.61154715874449,56.24898705748883,14.285383528975943,49.76807558576736,0.7327937711245268,1.234735975105707,0,Emerging Opportunity,45,38.68,0.37224136327254154,0.34260301517802694,0.35593220338983056,0.7537289749285941,0.4393493840083069,28,0.36008802686764496,28,0.47749814517391226,28,0.45612638919224824,28,0.3913138966508488,22
Hammersmith and Fulham,E09000013,98093.0,51319.0,132335.0,22972.0,183158.0,105772.0,44040.0,72.25182629205385,57.74904727066249,12.54217669989845,52.31667906986227,1.633973531949604,-0.118711886429061,0,Emerging Opportunity,24,43.94,0.47080346692213,0.6127113974598146,0.711864406779661,0.6702634084417647,0.5872892293051001,3,0.5615880340549416,2,0.6072352234570635,11,0.6164106699008426,12,0.5457161816611636,3
Haringey,E09000014,134381.0,55767.0,182106.0,36114.0,264238.0,146328.0,31874.0,68.9174153603948,55.37734920791105,13.667224244809605,41.499170269606566,0.164753235284794,0.484744303403873,0,Emerging Opportunity,38,38.5,0.31011472372246524,0.492279292281511,0.47457627118644063,0.756585211044113,0.4687340443913991,22,0.39765640378297407,23,0.5133810931235638,25,0.5083888745586325,26,0.40222020231811684,21
Harrow,E09000015,125037.0,45175.0,162656.0,31258.0,261203.0,133542.0,27535.0,62.271872834538655,51.125752767004975,11.966937592600392,36.12930572550525,-1.177860098967437,-1.2782696911924092,1,High Need (Low PC1),12,33.41,0.1632729942868949,0.8441250275731187,0.9152542372881356,0.8373532211996193,0.5846556949269327,4,0.5179248528730102,5,0.6520637176182051,4,0.6900013700869421,3,0.45259703870079443,8
Havering,E09000016,124784.0,41654.0,157397.0,38449.0,262052.0,132432.0,23702.0,60.06326988536627,50.53653473356433,14.67227878436341,33.38088216438005,-1.984649168879548,0.7515196629842688,1,High Need (Low PC1),10,23.7,0.07503440817037034,0.4390387775510869,0.9491525423728814,0.9914312916534433,0.5059382855836305,20,0.3590593458250875,29,0.5975779739319378,13,0.6136642549369455,13,0.3278099332248241,31
Hillingdon,E09000017,142805.0,45193.0,193369.0,39466.0,305909.0,154438.0,22994.0,63.21128178641361,50.484948138171816,12.90122225890706,31.646651027625083,-1.5536072483631376,-0.56960841079598,1,High Need (Low PC1),9,26.08,0.12217749803332892,0.7026970808648052,0.9661016949152542,0.9536655030149159,0.5733638549723267,7,0.4651182122591569,14,0.6565126554704853,3,0.6861604442070761,4,0.41229117251669267,19
Hounslow,E09000018,138800.0,45047.0,187903.0,35294.0,288181.0,150604.0,25174.0,65.20311887320815,52.26021146432277,12.247164108667818,32.45461095100865,-0.9739914057304536,-0.973457981449116,1,High Need (Low PC1),12,38.73,0.18557012982768076,0.7832935761672665,0.9152542372881356,0.7529355760076167,0.5645247298236761,8,0.5108239852216474,8,0.6212612744416697,8,0.6592633798226749,6,0.44634285565044474,10
Islington,E09000019,114971.0,64530.0,159739.0,35063.0,216589.0,124914.0,37422.0,73.75212960953695,57.67328904053299,16.18872611259113,56.12719729323047,1.4275418666431248,2.951436931702896,0,Emerging Opportunity,34,45.32,0.4482260189178981,0.0,0.5423728813559322,0.6483655982227865,0.417438103482903,29,0.33258758573013547,32,0.4374520614133918,30,0.4097411246241542,30,0.3765724741612851,25
Kensington and Chelsea,E09000020,69442.0,40010.0,99787.0,18311.0,143376.0,75072.0,90917.0,69.59811962950565,52.360227653163705,12.771314585425731,57.616428098269054,1.5925071844610827,-0.4528650569914706,0,Emerging Opportunity,43,86.18,0.4662682891287543,0.679398541383182,0.38983050847457623,0.0,0.40035312562305336,31,0.514919808674247,6,0.3537262967101779,33,0.38387433474662813,31,0.46966750583151246,6
