Borough,Area Code,Employed,Work_From_Home,Age_18_64,Disabled,Total_Pop,Economically_Active,Income_per_Head,Age_18_64_%,Economically_Active_%,Disabled_%,Work_From_Home_%,PC1,PC2,Cluster,Cluster_Label
Hackney,E09000012,134311.0,66844.0,182987.0,37020.0,259146.0,145767.0,29655.0,70.61154715874449,56.24898705748883,14.285383528975943,49.76807558576736,0.7327937711245268,1.234735975105707,0,Emerging Opportunity
Hammersmith and Fulham,E09000013,98093.0,51319.0,132335.0,22972.0,183158.0,105772.0,44040.0,72.25182629205385,57.74904727066249,12.54217669989845,52.31667906986227,1.633973531949604,-0.118711886429061,0,Emerging Opportunity
Haringey,E09000014,134381.0,55767.0,182106.0,36114.0,264238.0,146328.0,31874.0,68.9174153603948,55.37734920791105,13.667224244809605,41.499170269606566,0.164753235284794,0.484744303403873,0,Emerging Opportunity
Harrow,E09000015,125037.0,45175.0,162656.0,31258.0,261203.0,133542.0,27535.0,62.271872834538655,51.125752767004975,11.966937592600392,36.12930572550525,-1.177860098967437,-1.2782696911924092,1,High Need (Low PC1)
Havering,E09000016,124784.0,41654.0,157397.0,38449.0,262052.0,132432.0,23702.0,60.06326988536627,50.53653473356433,14.67227878436341,33.38088216438005,-1.984649168879548,0.7515196629842688,1,High Need (Low PC1)
Hillingdon,E09000017,142805.0,45193.0,193369.0,39466.0,305909.0,154438.0,22994.0,63.21128178641361,50.484948138171816,12.90122225890706,31.646651027625083,-1.5536072483631376,-0.56960841079598,1,High Need (Low PC1)
Hounslow,E09000018,138800.0,45047.0,187903.0,35294.0,288181.0,150604.0,25174.0,65.20311887320815,52.26021146432277,12.247164108667818,32.45461095100865,-0.9739914057304536,-0.973457981449116,1,High Need (Low PC1)
Islington,E09000019,114971.0,64530.0,159739.0,35063.0,216589.0,124914.0,37422.0,73.75212960953695,57.67328904053299,16.18872611259113,56.12719729323047,1.4275418666431248,2.951436931702896,0,Emerging Opportunity
Kensington and Chelsea,E09000020,69442.0,40010.0,99787.0,18311.0,143376.0,75072.0,90917.0,69.59811962950565,52.360227653163705,12.771314585425731,57.616428098269054,1.5925071844610827,-0.4528650569914706,0,Emerging Opportunity
Kingston upon Thames,E09000021,84148.0,39251.0,107221.0,21990.0,168063.0,89385.0,29942.0,63.798099522202975,53.18541261312723,13.084379072133665,46.645196558444646,-0.3578271147119471,-0.1021123528797273,1,High Need (Low PC1)
Lambeth,E09000022,182819.0,91770.0,235679.0,42017.0,317654.0,197141.0,31534.0,74.19361947275966,62.06155124758384,13.227285033401124,50.19718957001187,2.020100906221546,0.6673129246227789,0,Emerging Opportunity
Lewisham,E09000023,155712.0,69977.0,207168.0,43248.0,300553.0,169579.0,25892.0,68.92894098545015,56.42232817506396,14.389475400345365,44.94001746814632,0.287818742927258,1.1999520533665662,0,Emerging Opportunity
Merton,E09000024,112065.0,48419.0,140970.0,25902.0,215187.0,118900.0,32084.0,65.5104629926529,55.25426721874462,12.036972493691533,43.206174987730336,0.0771145417405147,-0.901386567283709,1,High Need (Low PC1)
Newham,E09000025,163447.0,47737.0,242138.0,42032.0,351036.0,180739.0,22217.0,68.97811050718445,51.48731184266001,11.973700703061796,29.20640941711992,-0.8533977948350269,-1.114209836101787,1,High Need (Low PC1)
Redbridge,E09000026,141627.0,49406.0,195735.0,37022.0,310259.0,152466.0,24430.0,63.08761389677656,49.14152369471957,11.932611141014442,34.884591214951946,-1.451290311602614,-1.3265861154248235,1,High Need (Low PC1)
Richmond upon Thames,E09000027,97565.0,57322.0,119832.0,23479.0,195278.0,102821.0,42567.0,61.364823482419936,52.65365274122021,12.023371808396236,58.752626454158765,0.2090793776579583,-0.914618871636108,1,High Need (Low PC1)
Southwark,E09000028,166948.0,80842.0,224391.0,42022.0,307637.0,181218.0,31054.0,72.94018599843322,58.90643843230821,13.6596053140552,48.42346119749863,1.3441352666628636,0.8533081650983977,0,Emerging Opportunity
Sutton,E09000029,104224.0,38024.0,128840.0,29614.0,209639.0,109810.0,24426.0,61.45803023292422,52.38052080004197,14.1261883523581,36.48295977893768,-1.383646195174378,0.4697438430304206,1,High Need (Low PC1)
Tower Hamlets,E09000030,155394.0,78219.0,228641.0,40125.0,310306.0,170536.0,29716.0,73.68242960174796,54.95736466584597,12.930784451476928,50.33592030580331,1.0668998867740924,0.2467415451882126,0,Emerging Opportunity
Waltham Forest,E09000031,140373.0,52765.0,187391.0,36762.0,278426.0,151835.0,24476.0,67.30370008548053,54.533340995453,13.203508293047344,37.58913751219964,-0.3485104974792231,0.0230281742636874,1,High Need (Low PC1)
Wandsworth,E09000032,190443.0,107639.0,236834.0,37444.0,327506.0,201428.0,41584.0,72.31440034686388,61.50360604080536,11.433072981869037,56.52032366639887,2.4159336814309427,-0.7975331608889551,0,Emerging Opportunity
Westminster,E09000033,101742.0,56766.0,148842.0,28122.0,204234.0,110288.0,67389.0,72.87816915890596,54.00080300047985,13.769499691530305,55.79406734681842,1.58304020695981,0.6552979120288899,0,Emerging Opportunity
