Gym Name,Latitude,Longitude
Coldharbour Leisure Centre,51.4366291,0.0544381
Commando Temple,51.4785923,-0.0247457
Connaught Heights Gym,51.5023408,0.0385973
Core Collective,51.5001974,-0.1605511
Core Collective,51.4995257,-0.198568
Core Flex Pilates,51.4915405,-0.1711604
Corehealth,51.5814421,-0.1125705
CorePower Yoga,51.5451618,0.0004668
Crayford Weights & Fitness,51.4510083,0.1836781
Cricket Academy & Gym,51.5299895,-0.170089
CrossFit,51.5865003,-0.1126209
Crossfit Bermondsey,51.4924177,-0.065716
Crossfit Evolving,51.5376081,-0.1928598
CrossFit Ickenham,51.5700889,-0.4360937
Crossfit Putney,51.4627587,-0.2102746
Crossfit Vauxhaul,51.4825342,-0.1257376
Crouch End Fitness Centre,51.582188,-0.1208183
CroyWall Climbing Centre,51.3742078,-0.1154102
Curves,51.4145964,-0.3656264
Cyclebeat,51.5116036,-0.0862991
Daley Fitness,51.4617154,-0.2210396
Damos Personal Training,51.4807714,-0.114455
De Beauvoir Estate gym trail,51.5389226,-0.0845036
Delta Fitness,51.5010662,-0.0259252
Diesel Gym,51.5078419,0.0412816
Digme Fitness,51.4610915,-0.3018826
Down To Earth,51.5563347,-0.1381256
Dr. Zak's Pumping Iron Gym,51.6172986,-0.1433174
Drop Gym,51.53654,-0.2063338
Drop Gym,51.5350168,-0.219549
Duffy Boxing,51.5459222,-0.0203727
Duke McKenzie Fitness Centre,51.4183226,-0.0815923
Duo Chelsea,51.4829834,-0.1852788
Dwaynamics Boxing Gym,51.4644143,-0.1050818
E7 Movement,51.554177,0.0202724
EasyGym,51.595712,-0.068428
Easygym,51.4842829,-0.2018004
easyGym,51.4726521,-0.093276
Eglwys Annibynnol Gymraeg (Welsh Congregational Church),51.5707647,-0.345675
El Estudio,51.5599703,-0.2808262
Elasko,51.5068218,-0.0047664
Ellis Stockwell,51.5336696,-0.2185744
Embody Wellness,51.4857913,-0.1261085
Energie,51.4396146,-0.0549574
Energie Fitness,51.6111744,-0.0182266
Energie Fitness,51.5022504,-0.0996439
Energym,51.5100345,-0.3256027
Enhance Fitness,51.4392719,-0.1866038
Equals Results,51.6236543,-0.1226873
Equilibrium,51.5086826,-0.2159125
Equinox Kensington,51.5011463,-0.1914769
Eqvvs Training,51.4983412,-0.1673324
esph,51.4566203,-0.0762192
Ethos Gym,51.5001016,-0.1734515
Evoke,51.572858,-0.0903477
Evolution,51.4666563,-0.2670397
Evolve Fitness Studio,51.4585192,0.0038018
F45 Holloway,51.5536653,-0.1131952
F45 Training,51.586955,-0.0443297
F45 Training,51.5474336,-0.0247061
F45 Training,51.539219,-0.057586
F45 Training,51.5232637,-0.1372877
F45 Training,51.5186724,-0.1711586
F45 Training,51.5166653,-0.0765148
F45 Training,51.5138669,-0.2264505
F45 Training,51.5105644,-0.0925666
F45 Training,51.509856,-0.0042345
F45 Training,51.4929391,-0.2329941
F45 Training,51.4871857,-0.1228872
F45 Training,51.4842525,-0.1765485
F45 Training,51.480811,-0.1993943
F45 Training,51.4717434,-0.1128607
F45 Training,51.4568844,-0.1888841
F45 Training,51.4292635,-0.165448
F45 Training,51.4260485,-0.3356871
F45 Training,51.4148802,-0.1929118
F45 Training,51.371263,-0.100554
Face Gym,51.5363272,-0.1261045
FACEGYM,51.533121,-0.1704265
FaceGym,51.5140999,-0.1992135
Facegym,51.484689,-0.1756199
Feel Electric,51.537424,-0.184958
Fierce Grace - West,51.5322589,-0.208859
Fight City Gym,51.4940133,-0.0950737
Fison Fitness (Studio 1),51.4533701,-0.1017701
Fit As Leyton,51.5694482,-0.0068025
Fit Club,51.6300097,-0.1756234
Fit Shape Studio,51.5586745,-0.148419
Fit This,51.544586,-0.0560586
Fitbox,51.38982,-0.2981001
Fitnastic,51.5864724,-0.1124355
Fitness Centre,51.403286,-0.302608
Fitness First,51.5954229,-0.3850661
Fitness First,51.5583114,-0.1022917
Fitness First,51.5376763,-0.1441897
Fitness First,51.5369788,-0.2061844
Fitness First,51.5314141,-0.1031605
Fitness First,51.5223795,-0.1348101
Fitness First,51.5186275,-0.1561308
Fitness First,51.5185695,-0.0840269
Fitness First,51.5177118,-0.0771325
Fitness First,51.5175023,-0.0807859
Fitness First,51.5174382,-0.118879
Fitness First,51.5169716,-0.0788044
Fitness First,51.5150418,-0.0829711
Fitness First,51.5148394,-0.1004297
Fitness First,51.5147618,-0.1389794
Fitness First,51.5127141,-0.078871
Fitness First,51.5117385,-0.0970366
Fitness First,51.5112981,-0.0846292
Fitness First,51.511247,-0.076255
Fitness First,51.5099438,-0.1238005
Fitness First,51.507782,-0.0671797
Fitness First,51.5036024,-0.2190954
Fitness First,51.4980338,-0.1404543
Fitness First,51.4644175,-0.1153397
Fitness First,51.4634134,-0.1695235
Fitness First,51.4362068,-0.1582775
Fitness Hub East London,51.5667988,0.0101672
Fitness Pod,51.589753,-0.2308137
Fitness VIP,51.5459568,-0.1623408
Fitness4Less,51.5041322,-0.1013081
Fitness4Less New Malden,51.4002599,-0.2541384
Fitshape,51.5985507,-0.1379264
FitStudioZ,51.4889037,-0.1922908
FitStudioZ,51.4861556,0.0076643
FITT Studio,51.5818897,-0.1579342
FLEX Chelsea,51.4871905,-0.178776
Flex PT,51.5991282,-0.1241529
Flo Yoga,51.5477212,-0.0449136
Flying Fantastic,51.4722651,-0.0706862
Fordes Gym,51.3902299,0.1149257
Form Studios,51.5145583,-0.2038382
Former cinema and gymnasium,51.5428715,-0.4722426
Four Sides,51.4538804,-0.1637282
Frame,51.5367464,-0.1225604
Frame,51.5247116,-0.0786958
FS8,51.5177202,-0.1403916
Funk,51.4688805,-0.2878729
G Happy Feet Studios,51.5269334,-0.0946685
Gaia Pilates,51.4679202,-0.072308
Genesis Gym,51.5372296,-0.3038973
German Gymnasium,51.5324,-0.1254285
Giants Gym,51.6063798,-0.1191122
GibFit 30,51.5908569,-0.147568
Glove Up,51.4568811,-0.1965701
Gold's Gym,51.5831537,-0.3309845
Gold's Gym,51.5493848,0.1616635
Gold's Gym,51.5085892,-0.3350715
Goldsmiths Gym,51.4730736,-0.0374306
Grapple Collective,51.5116337,-0.0602566
Grappler's Den,51.4450671,-0.1426557
Grappler's Den,51.4450665,-0.1426524
Green Gym,51.4119989,-0.1474522
